"Index","Product","Category","Sub Category","Industry","Status","Action"
"1093","Additive WD 5760AM SPL","Wetting & Dispersing Agent","Wetting & Dispersing Agent","Pulp & Paper, Paint & Coating, Household Products, ETP Additives, Textile,","ACTIVE",""
"1092","Additive WR 5 TM 148","Specialty & Tailor Made Additives","Silicone Water Repellent","Construction Chemicals,","ACTIVE",""
"1091","Additive WD 5760 NA-30","Wetting & Dispersing Agent","Wetting & Dispersing Agent","Printing Inks, Paint & Coating,","ACTIVE",""
"1090","Additive WD 5493","Wetting & Dispersing Agent","Wetting & Dispersing Agent","Printing Inks, Paint & Coating, Construction Chemicals, Textile,","ACTIVE",""
"1089","Additive WD 5319","Wetting & Dispersing Agent","Wetting & Dispersing Agent","Printing Inks, Paint & Coating,","ACTIVE",""
"1088","Additive WD 5262","Wetting & Dispersing Agent","Economy Dispersing Agent","Printing Inks, Pulp & Paper, Paint & Coating, AGRO,","ACTIVE",""
"1087","Additive WD 5241","Wetting & Dispersing Agent","Wetting Agent Cum Dispersing Agent","Printing Inks, Paint & Coating, Textile,","ACTIVE",""
"1086","Additive WD 5238","Wetting & Dispersing Agent","Wetting & Dispersing Agent","Printing Inks, Paint & Coating, Textile,","ACTIVE",""
"1085","Additive WD 5172","Wetting & Dispersing Agent","Wetting & Dispersing Agent","Printing Inks, Paint & Coating,","ACTIVE",""
"1084","Additive WD 5 TM 261","Wetting & Dispersing Agent","Wetting Agent Cum Dispersing Agent","Printing Inks, Paint & Coating,","ACTIVE",""
"1083","Additive PE 5985","Surface Property Enhancer","Polyethylene Wax Emulsion","Printing Inks, Pulp & Paper, Paint & Coating, Textile,","ACTIVE",""
"1082","Additive MS 5 TM 243","Surface Property Enhancer","Mar-Scratch Resistance Additive","Printing Inks, Paint & Coating,","ACTIVE",""
"1081","Additive FT 5283","Specialty & Tailor Made Additives","Economy Flow & Leveling Polymer","Printing Inks, Paint & Coating,","ACTIVE",""
"1080","Additive DF 5835","Defoamers","Silicone Defoamer","Printing Inks, Pulp & Paper, Paint & Coating, AGRO, ETP Additives, Textile,","ACTIVE",""
"1079","Additive DF 5796","Defoamers","Silicone Defoamer","Printing Inks, Pulp & Paper, Paint & Coating, AGRO, ETP Additives, Textile,","ACTIVE",""
"1078","Additive DF 5793","Defoamers","Silicone & Wax Based Defoamer","Starch / Adhesive / Corrugation,","ACTIVE",""
"1077","Additive DF 5787","Defoamers","Silicone Defoamer","Pulp & Paper, AGRO, ETP Additives, Textile,","ACTIVE",""
"1076","Additive DF 5742","Defoamers","Silicone Defoamer","Printing Inks, Pulp & Paper, AGRO, ETP Additives,","ACTIVE",""
"1075","Additive DF 5736","Defoamers","Silicone Defoamer","Starch / Adhesive / Corrugation,","ACTIVE",""
"1074","Additive DF 5724M","Defoamers","Silicone Defoamer","Printing Inks, Pulp & Paper, Paint & Coating, Starch / Adhesive / Corrugation, AGRO, ETP Additives, Textile,","ACTIVE",""
"1073","Additive DF 5421","Defoamers","Silicone Defoamer","Printing Inks, Pulp & Paper, Paint & Coating, Starch / Adhesive / Corrugation, AGRO, Textile,","ACTIVE",""
"1072","Additive DF 5379 P & P","Defoamers","100% Active Silicone Defoamer For Pulp & Paper Industry","Printing Inks, Pulp & Paper, Paint & Coating, Starch / Adhesive / Corrugation, Textile,","ACTIVE",""
"1071","Additive DF 5349","Defoamers","Silicone Free, Mineral Oil Free Defoamer","Pulp & Paper, Paint & Coating, Starch / Adhesive / Corrugation, Construction Chemicals, Household Products, ETP Additives, Textile,","ACTIVE",""
"1070","Additive DF 5325","Defoamers","SILICONE DEFOAMER","Printing Inks, Pulp & Paper, Starch / Adhesive / Corrugation, AGRO, ETP Additives, Textile,","ACTIVE",""
"1069","Additive DF 5304","Defoamers","Silicone Defoamer","Printing Inks, Pulp & Paper, Paint & Coating, Starch / Adhesive / Corrugation, AGRO, ETP Additives, Textile,","ACTIVE",""
"1068","Additive DF 5286","Defoamers","Organophosphate Based Antifoam","Printing Inks, Paint & Coating, Starch / Adhesive / Corrugation,","ACTIVE",""
"1067","Additive DF 5229","Defoamers","Silicone Defoamer","Printing Inks, Paint & Coating, Starch / Adhesive / Corrugation,","ACTIVE",""
"1066","Additive DF 5196","Defoamers","SILICONE DEFOAMER","Printing Inks, Paint & Coating, Starch / Adhesive / Corrugation,","ACTIVE",""
"1065","Additive DF 5154 M","Defoamers","Powder Defoamer","Starch / Adhesive / Corrugation, AGRO, Construction Chemicals, Textile,","ACTIVE",""
"1064","Additive DF 5151 SPL","Defoamers","30% Silicone Defoamer","Printing Inks, Pulp & Paper, Paint & Coating, Starch / Adhesive / Corrugation, AGRO, Lubricating Oil / Oil Emulsions, ETP Additives, Textile,","ACTIVE",""
"1063","Additive DF 5151-SPD","Defoamers","30% Silicone Defoamer","Printing Inks, Pulp & Paper, Paint & Coating, Starch / Adhesive / Corrugation, AGRO, Lubricating Oil / Oil Emulsions, ETP Additives, Textile,","ACTIVE",""
"1062","Additive DF 5151 M","Defoamers","30% Silicone Defoamer","Printing Inks, Pulp & Paper, Paint & Coating, AGRO, ETP Additives,","ACTIVE",""
"1061","Additive BOA 5109","Specialty & Tailor Made Additives","Blend Of Additives","Printing Inks, Paint & Coating,","ACTIVE",""
"1060","Additive DF 5118-LV","Defoamers","Silicone Free Defoamer","Printing Inks, Paint & Coating, Starch / Adhesive / Corrugation, ETP Additives, Textile,","ACTIVE",""
"1059","Additive DF 5118 WT","Defoamers","100% Mineral Oil Based Defoamer","Printing Inks, Pulp & Paper, Paint & Coating, Starch / Adhesive / Corrugation, Textile,","ACTIVE",""
"1058","Additive DF 5 TM 246","Defoamers","Polymeric Defoamer","Paint & Coating, Construction Chemicals,","ACTIVE",""
"1057","Additive DF 5 TM 234","Defoamers","Economy Non Silicone Defoamer","Pulp & Paper, Starch / Adhesive / Corrugation, ETP Additives,","ACTIVE",""
"1056","Additive AST 5499","Thickener & Anti-Settling Agents","Powder Thixotropic Agent","Printing Inks, Paint & Coating,","ACTIVE",""
"1055","Additive AST 5496","Thickener & Anti-Settling Agents","Powder Thixotropic Agent for SLES & Cleansing Formulations","Household Products,","ACTIVE",""
"1054","Additive AST 5448","Thickener & Anti-Settling Agents","Powder Thixotropic Agent","Starch / Adhesive / Corrugation, Construction Chemicals,","ACTIVE",""
"1053","Additive ADT 5268","Specialty & Tailor Made Additives","Tack & Viscosity Improver","Starch / Adhesive / Corrugation,","ACTIVE",""
"1052","Additive 5121 AMT","Thickener & Anti-Settling Agents","Ammonium Polyacrylate Thickener","Paint & Coating, Starch / Adhesive / Corrugation, AGRO, Construction Chemicals, Household Products, Textile,","ACTIVE",""
"1051","Additive 5 TM DF MOPA","Defoamers","Mineral Oil & Wax Based Defoamer","Printing Inks, Paint & Coating, Starch / Adhesive / Corrugation, Lubricating Oil / Oil Emulsions,","ACTIVE",""
"1050","Additive 5 TM DF EPBP","Defoamers","Silicone Free, Mineral Oil Free Defoamer","Printing Inks, Paint & Coating,","ACTIVE",""
"1049","Add-Eco WD 5673 - HPH","Wetting & Dispersing Agent","Wetting Agent Cum Dispersing Agent","Printing Inks, Pulp & Paper, Paint & Coating,","ACTIVE",""
"1048","Add-Eco WD 5673","Wetting & Dispersing Agent","Wetting Agent Cum Dispersing Agent","Printing Inks, Pulp & Paper, Paint & Coating,","ACTIVE",""
"1047","Add Eco WD 5520M","Wetting & Dispersing Agent","Wetting Agent Cum Dispersing Agent","Printing Inks, Paint & Coating,","ACTIVE",""
"1046","Add Eco DF 5682","Defoamers","Economy Silicone Defoamer","Pulp & Paper, Paint & Coating, ETP Additives,","ACTIVE",""
"1045","Add Eco DF 5586","Defoamers","Economy Silicone Defoamer","Printing Inks, Pulp & Paper, Paint & Coating, AGRO, ETP Additives, Textile,","ACTIVE",""
"1044","Add Eco DF 5667","Defoamers","Economy Silicone Defoamer","Pulp & Paper, Starch / Adhesive / Corrugation, ETP Additives, Textile,","ACTIVE",""
"1043","Add Eco DF 5661","Defoamers","Economy Silicone Defoamer","Printing Inks, Pulp & Paper, Paint & Coating, AGRO, Textile,","ACTIVE",""
"1042","Add Eco DF 5645","Defoamers","Economy Silicone Defoamer","Starch / Adhesive / Corrugation,","ACTIVE",""
"1041","Add Eco DF 5627","Defoamers","Economy Silicone Defoamer","Printing Inks, Pulp & Paper, Paint & Coating, Starch / Adhesive / Corrugation, AGRO, ETP Additives, Textile,","ACTIVE",""
"1040","Add Eco DF 5565","Defoamers","Economy Silicone Defoamer","Printing Inks, Pulp & Paper, Paint & Coating, Starch / Adhesive / Corrugation, AGRO, ETP Additives, Textile,","ACTIVE",""
"1039","Add Eco DF 5562","Defoamers","Economy Silicone Defoamer","Printing Inks, Pulp & Paper, Paint & Coating, AGRO, ETP Additives, Textile,","ACTIVE",""
"1038","Add Eco DF 5523M","Defoamers","Economy Silicone Defoamer","Printing Inks, Paint & Coating, Starch / Adhesive / Corrugation, AGRO, ETP Additives, Textile,","ACTIVE",""
"1037","Add Eco DF 5523 SPL","Defoamers","Economy Silicone Defoamer","Printing Inks, Pulp & Paper, Starch / Adhesive / Corrugation, AGRO, Textile,","ACTIVE",""
"1036","Add Eco DF 5523 P & P","Defoamers","Economy Silicone Defoamer","Pulp & Paper,","ACTIVE",""
"1035","Add Eco DF 5517 SPL","Defoamers","Economy Silicone Defoamer","Printing Inks, Pulp & Paper, Paint & Coating, AGRO, Textile,","ACTIVE",""
"1034","Add Eco DF 5517 M","Defoamers","Economy Silicone Defoamer","Printing Inks, Pulp & Paper, Paint & Coating, AGRO, Textile,","ACTIVE",""
"1033","Add Eco DF 5512-5 SPL","Defoamers","Economy Silicone Defoamer","Printing Inks, Pulp & Paper, Paint & Coating, Starch / Adhesive / Corrugation, AGRO, ETP Additives, Textile,","ACTIVE",""
"1032","Add Eco DF 5512 - 5","Defoamers","Economy Silicone Defoamer","Pulp & Paper, Paint & Coating, Starch / Adhesive / Corrugation, AGRO, Lubricating Oil / Oil Emulsions, ETP Additives, Textile,","ACTIVE",""
"1031","Add-Eco DF 5505","Defoamers","Economy Non Silicone Defoamer","Paint & Coating, Starch / Adhesive / Corrugation, Construction Chemicals, ETP Additives, Textile,","ACTIVE",""
"1030","Add Eco AST 5604","Thickener & Anti-Settling Agents","Anti-settling Agent for Aqueous Systems","Paint & Coating, Starch / Adhesive / Corrugation, AGRO, Construction Chemicals,","ACTIVE",""
"1029","Additive WD 4149 SPL","Wetting & Dispersing Agent","Special Titanium Dioxide Dispersing Agent","Printing Inks, Paint & Coating,","ACTIVE",""
"6012","Additive EM 3366 M","Emulsifiers","Multi-functional Emulsifier","Paint & Coating,","ACTIVE",""
"6011","Additive EM 3408","Emulsifiers","Non-Ionic Emulsifier","Printing Inks, Paint & Coating, AGRO, Household Products, Textile,","ACTIVE",""
"6010","Additive EM 3363","Emulsifiers","Multi-functional Emulsifier","Paint & Coating,","ACTIVE",""
"6008","Additive EM 3345","Emulsifiers","Non-Ionic Emulsifier","Pulp & Paper, Paint & Coating, Starch / Adhesive / Corrugation, AGRO, Household Products, Textile,","ACTIVE",""
